Statistic,Rank,Player,Squad,Value
Expected-np:G-xG,Bottom 1,Dominic Calvert-Lewin,Everton,-6.4
Expected-np:G-xG,Bottom 2,Brennan Johnson,Tottenham,-5.3
Expected-np:G-xG,Bottom 3,Nicolas Jackson,Chelsea,-4.6
Total-Cmp,Top 1,Rodri,Manchester City,3365.0
Total-Cmp,Top 2,Lewis Dunk,Brighton,2977.0
Total-Cmp,Top 3,Pascal Groß,Brighton,2774.0
Total-Cmp,Bottom 1,Leon Chiwome,Wolves,19.0
Total-Cmp,Bottom 2,Neal Maupay,Everton,22.0
Total-Cmp,Bottom 3,Alex Iwobi,Everton,27.0
Total-Att,Top 1,Rodri,Manchester City,3656.0
Total-Att,Top 2,Lewis Dunk,Brighton,3233.0
Total-Att,Top 3,Pascal Groß,Brighton,3223.0
Total-Att,Bottom 1,Leon Chiwome,Wolves,22.0
Total-Att,Bottom 2,Neal Maupay,Everton,26.0
Total-Att,Bottom 3,Hannibal Mejbri,Manchester Utd,38.0
Total-Cmp%,Top 1,Thiago Silva,Chelsea,94.7
Total-Cmp%,Top 2,David Ozoh,Crystal Palace,94.1
Total-Cmp%,Top 3,Mateo Kovačić,Manchester City,94.0
Total-Cmp%,Bottom 1,Ivo Grbić,Sheffield Utd,49.7
Total-Cmp%,Bottom 2,William Osula,Sheffield Utd,52.7
Total-Cmp%,Bottom 3,Ivan Toney,Brentford,53.5
Total-TotDist,Top 1,Rodri,Manchester City,57256.0
Total-TotDist,Top 2,Lewis Dunk,Brighton,50791.0
Total-TotDist,Top 3,Virgil van Dijk,Liverpool,49290.0
Total-TotDist,Bottom 1,Leon Chiwome,Wolves,244.0
Total-TotDist,Bottom 2,Kieffer Moore,Bournemouth,272.0
Total-TotDist,Bottom 3,Neal Maupay,Everton,353.0
Total-PrgDist,Top 1,Jordan Pickford,Everton,26388.0
Total-PrgDist,Top 2,Mark Flekken,Brentford,22385.0
Total-PrgDist,Top 3,Thomas Kaminski,Luton Town,22188.0
Total-PrgDist,Bottom 1,Neal Maupay,Everton,14.0
Total-PrgDist,Bottom 2,Nathan Fraser,Wolves,45.0
Total-PrgDist,Bottom 3,Leon Chiwome,Wolves,59.0
